pos_index	qtltype	Position
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
1	SNV	Upstream_50
