feature	short-read	long-read
ENST00000000233.10	5.173079049603941	5.759916883748424
ENST00000000412.8	3.480645266063248	7.560368077579754
ENST00000000442.11	2.1553775030350097	0.5945151092115203
ENST00000001008.6	1.6267610495680238	3.524723673144615
ENST00000001146.7	0.0	0.0
ENST00000002125.9	0.9635125953296938	2.9496749936977578
ENST00000002165.11	1.573185936038505	5.728647389691539
ENST00000002501.11	0.0	0.0
ENST00000002596.6	0.08007910508528547	0.4624879416871831
ENST00000002829.8	0.0	0.0
ENST00000003084.11	0.0	0.0
ENST00000003100.13	1.127877559805777	2.6760240796657833
ENST00000003302.8	0.24618064341987034	0.4126904904412434
ENST00000003583.12	0.06454213671387682	0.20407434126274984
ENST00000003912.8	0.6350940592166002	0.5345557006330788
ENST00000004103.8	2.3920244572417118	1.0858427188832602
ENST00000004531.14	0.0	0.0
ENST00000004982.6	0.08723199157533065	0.0
ENST00000005082.13	0.0	1.1027326994713267
ENST00000005178.6	1.9212672193644742	4.523936255498004
ENST00000005180.9	0.0	0.0
ENST00000005226.12	0.0	0.0
ENST00000005257.7	1.44420800266456	4.047387271281452
ENST00000005259.9	1.0400633878524668	4.137407778083808
ENST00000005260.9	0.13540615749810192	2.203424513958133
ENST00000005284.4	0.013060571884569354	0.0
ENST00000005286.8	0.0	0.0
ENST00000005340.10	1.0981183472265126	3.043033322388829
ENST00000005374.10	0.0	0.45897722930409013
ENST00000005386.8	1.3603828193401184	3.9726513022798966
ENST00000005558.8	1.7736356062592153	0.0
ENST00000005756.5	0.0	0.0
ENST00000005995.8	0.1846484600344445	0.0
ENST00000006015.4	0.0	0.0
ENST00000006053.7	0.0	0.0
ENST00000006251.11	1.0866764430276166	3.1849495877364347
ENST00000006275.8	0.9821433544435061	1.2872193137109946
ENST00000006658.11	0.16409758404235422	1.678671400664966
ENST00000006724.7	0.0	0.20827377276648948
ENST00000006750.8	1.2868001417350596	1.7998685543188486
ENST00000006777.11	2.8715335934319444	5.009919245435557
ENST00000007264.7	0.726973300242205	2.81555493588974
ENST00000007390.3	2.0713837576698544	2.174446048952433
ENST00000007414.8	0.5515189706894679	0.3967086172400281
ENST00000007510.9	0.1029496640237104	0.0
ENST00000007516.8	2.2404141695357604	2.341696894750504
ENST00000007699.10	0.0	0.0
ENST00000007708.7	0.0	0.0
ENST00000007722.11	0.0	0.0
ENST00000007735.4	0.021304887762289122	0.0
ENST00000007969.12	0.0	0.5643332894414079
ENST00000008180.13	1.7824429543411502	1.6764150106269025
ENST00000008391.4	0.0	0.0
ENST00000008440.9	0.0	0.30086875372403976
ENST00000008527.10	0.9885821722635051	2.2089966218680988
ENST00000008938.5	5.367705558771329	5.293465284872109
ENST00000009041.12	2.751738993851996	6.193394977359504
ENST00000009105.5	0.0	0.0
ENST00000009180.10	4.243191505207309	2.93104627772828
ENST00000009530.13	5.015129462501311	7.597621905924425
ENST00000009589.8	0.0	0.0
ENST00000010132.6	0.19742383646604159	0.0
ENST00000010299.10	0.04601741806806417	0.0
